key_0,symbol,direction,contracts,entry_time,entry_price,exit_time,exit_price,stop_price,target_price,exit_reason,pnl_gross,commission,pnl_net,initial_risk_dollars,r_multiple,bars_held,reason,dist_vwap,vwap_slope,ema200_slope,or_size,rel_volume,vwap,ema_trend,close,day_range,day_efficiency,day_direction,lado,hora,franja,dia_semana,mes,stop_pts,dist_vwap_favor,vwap_slope_dir,ema200_slope_dir,sobre_vwap,sobre_ema200,pendiente_vwap,pendiente_ema200,dia_tendencia,dia_con_trade,rango_dia_b,stop_pts_b,dist_vwap_b,rel_volume_b,or_size_b
2025-01-06,MNQ,1,1,2025-01-06 10:13:00,21822.0,2025-01-06 12:43:00,21779.0,21779.5,21907.0,stop,-86.0,1.58,-87.58,85.0,-1.03,151,vwap_liq_rejection_long,24.125939085999562,3.2873778964785743,74.24294789644773,124.25,1.631859209184637,21798.124060914,21604.716087845794,21822.25,250.5,0.03293413173652695,1.0,long,10h,mañana,lunes,2025-01,42.5,24.125939085999562,3.2873778964785743,74.24294789644773,a favor,a favor,a favor,a favor,lateral/chop,a favor del día,alto,alto,medio,alto,alto
2025-01-08,MNQ,-1,1,2025-01-08 15:13:00,21321.0,2025-01-08 15:24:00,21357.5,21357.0,21249.0,stop,-73.0,1.58,-74.58,72.0,-1.036,12,vwap_liq_rejection_short,-4.739101243125333,0.15016947964613792,-0.8983222827264399,99.75,1.320542070975013,21325.989101243125,21340.07557776849,21321.25,265.5,0.01224105461393597,-1.0,short,15h,tarde,miércoles,2025-01,36.0,4.739101243125333,-0.15016947964613792,0.8983222827264399,a favor,a favor,en contra,a favor,lateral/chop,a favor del día,alto,medio,bajo,medio,medio
2025-01-13,MNQ,-1,1,2025-01-13 10:25:00,20768.5,2025-01-13 10:39:00,20816.0,20815.5,20674.5,stop,-95.0,1.58,-96.58,94.0,-1.027,15,vwap_liq_rejection_short,-5.551832864031894,1.069359810611786,-48.284231695146445,139.75,1.1712941345497647,20774.801832864032,20934.587938120352,20769.25,263.25,0.7236467236467237,1.0,short,10h,mañana,lunes,2025-01,47.0,5.551832864031894,-1.069359810611786,48.284231695146445,a favor,a favor,en contra,a favor,tendencia,contra el día,alto,alto,bajo,bajo,alto
2025-01-15,MNQ,1,1,2025-01-15 13:04:00,21356.0,2025-01-15 14:37:00,21433.0,21317.5,21433.0,target,154.0,1.58,152.42,77.0,1.979,94,vwap_liq_rejection_long,29.80587091446432,0.3245411490497645,24.20446216671553,160.0,1.2411646798185463,21325.444129085536,21277.894078472513,21355.25,266.25,0.5652582159624413,1.0,long,13h,tarde,miércoles,2025-01,38.5,29.80587091446432,0.3245411490497645,24.20446216671553,a favor,a favor,a favor,a favor,tendencia,a favor del día,alto,medio,medio,bajo,alto
2025-01-16,MNQ,-1,1,2025-01-16 10:05:00,21369.0,2025-01-16 10:09:00,21415.0,21414.75,21277.5,stop,-92.0,1.58,-93.58,91.5,-1.023,5,vwap_liq_rejection_short,-43.25008232088658,-12.880997308431688,2.814094087545527,130.5,1.1653911404335533,21412.500082320887,21395.72830265748,21369.25,241.5,0.9472049689440993,-1.0,short,10h,mañana,jueves,2025-01,45.75,43.25008232088658,12.880997308431688,-2.814094087545527,a favor,a favor,a favor,en contra,tendencia,a favor del día,alto,alto,alto,bajo,alto
2025-01-16,MNQ,-1,1,2025-01-16 10:35:00,21373.0,2025-01-16 11:00:00,21417.5,21417.0,21285.0,stop,-89.0,1.58,-90.58,88.0,-1.029,26,vwap_liq_rejection_short,-30.37923276030415,-2.2261275447526714,-1.6791021278258995,130.5,1.3789725348416817,21404.129232760304,21394.049200529655,21373.75,241.5,0.9472049689440993,-1.0,short,10h,mañana,jueves,2025-01,44.0,30.37923276030415,2.2261275447526714,1.6791021278258995,a favor,a favor,a favor,a favor,tendencia,a favor del día,alto,alto,medio,medio,alto
2025-01-22,MNQ,1,1,2025-01-22 10:39:00,22039.5,2025-01-22 11:00:00,21996.0,21996.25,22126.0,stop,-87.0,1.58,-88.58,86.5,-1.024,22,vwap_liq_rejection_long,52.07388347546657,3.7764146080298815,56.60367266759931,125.25,1.5403938595131028,21987.176116524533,21860.464158816383,22039.25,191.5,0.49216710182767626,1.0,long,10h,mañana,miércoles,2025-01,43.25,52.07388347546657,3.7764146080298815,56.60367266759931,a favor,a favor,a favor,a favor,mixto,a favor del día,medio,alto,alto,alto,alto
2025-01-23,MNQ,-1,1,2025-01-23 10:03:00,21881.5,2025-01-23 10:35:00,21919.5,21919.25,21806.0,stop,-76.0,1.58,-77.58,75.5,-1.028,33,vwap_liq_rejection_short,-13.269450815998425,-0.73755642958713,-30.07128027078943,52.25,1.2420647309813717,21895.769450816,21986.102538618197,21882.5,168.0,0.8988095238095238,1.0,short,10h,mañana,jueves,2025-01,37.75,13.269450815998425,0.73755642958713,30.07128027078943,a favor,a favor,a favor,a favor,tendencia,contra el día,bajo,medio,bajo,bajo,bajo
2025-01-23,MNQ,1,1,2025-01-23 15:15:00,21969.0,2025-01-23 15:50:00,21972.5,21938.75,22029.5,session_flatten,7.0,1.58,5.42,60.5,0.09,36,vwap_liq_rejection_long,44.16711888329519,0.576033628469304,2.104611468173971,52.25,1.3263921985555598,21925.332881116705,21949.306504815886,21969.5,168.0,0.8988095238095238,1.0,long,15h,tarde,jueves,2025-01,30.25,44.16711888329519,0.576033628469304,2.104611468173971,a favor,a favor,a favor,a favor,tendencia,a favor del día,bajo,medio,alto,medio,bajo
2025-01-29,MNQ,-1,1,2025-01-29 10:05:00,21530.0,2025-01-29 10:10:00,21562.5,21562.0,21466.0,stop,-65.0,1.58,-66.58,64.0,-1.04,6,vwap_liq_rejection_short,-6.084332406397152,-1.5751902335432533,-8.632486061651434,112.75,1.2316608963446127,21536.834332406397,21553.605250976558,21530.75,238.75,0.30157068062827225,-1.0,short,10h,mañana,miércoles,2025-01,32.0,6.084332406397152,1.5751902335432533,8.632486061651434,a favor,a favor,a favor,a favor,mixto,a favor del día,medio,medio,bajo,bajo,medio
